,Handle,Name,abortion,administration,bill,budget,care,climate,conservative,culture,deal,debt,dem,doubt,economy,education,environment,gop,gun,health,human,illegal,immigration,interests,men,obama,police,president,private,protest,republican,research,rich,security,stop,tax,terror,trump,union,united,veterans,violence,war,women
19,marcorubio,Marco Rubio,0.0,-0.000912287400208261,0.003015341895175287,0.0002179798681013537,0.004248871919472406,-6.598403332176327e-05,0.0039762929538354735,-0.0006649774383894481,-0.0010761541131551545,-0.0008239153071850052,-0.0019753210690732384,0.00030343630683790353,0.002046997570288094,0.0003793127386324193,2.7559875043387723e-05,0.001581534189517529,-0.0025156889968760846,0.0013744186046511626,-0.002224817771607081,-0.0016350225616105522,-0.0009646997570288096,6.334606039569593e-05,0.0009163137799375197,-0.0003677195418257549,-0.000775147518222839,0.00041652204095800083,0.0005390142311697328,-0.0023475182228392916,-0.00019937521693856293,-0.000696043040610899,0.0001824019437695245,0.001914265879902811,-0.004206594932315168,0.003994619923637625,-0.00564783061437001,-0.0037057618882332527,0.0003779937521693856,0.0016237070461645263,0.0011679625130163137,-0.006426379729260674,-0.0034171468240194363,0.0021108295730649087
20,MarkWarner,Mark Warner,-0.00023468498659517427,-0.0034994302949061654,0.016014979892761395,-0.0003417560321715818,0.0133211126005362,0.0,-9.601206434316353e-05,0.00030784182305630025,0.00022131367292225188,-0.0017445375335120644,-0.004353853887399462,-0.0006295911528150134,0.004171313672922251,0.0024893431635388736,-7.47319034852547e-05,0.0005103887399463807,-0.0020759048257372654,0.008337868632707768,0.0005988941018766756,-0.0012553954423592494,-0.0006529825737265415,0.00046916890080428946,0.025009819034852533,-0.00011732573726541553,0.0009094504021447721,-0.0027619638069705087,0.0011558646112600536,0.00018679624664879357,0.001882640750670241,0.0030303284182305627,0.0023148123324396776,0.009062935656836465,-0.005411327077747987,0.0034687332439678285,-0.0016367627345844505,-0.0038983243967828395,0.003831065683646112,0.0011686662198391422,0.005383445040214476,-0.004450033512064343,0.006635757372654155,0.0067803619302949075
21,MartinHeinrich,Martin Heinrich,0.0001825745168686538,-0.0021757287913527676,0.0072427448411398615,-3.20995741893239e-06,0.013058532590894206,0.0007705535538814281,0.0004587618735669833,0.0017353750409433344,0.0011772682607271536,0.0007067147068457254,-0.0015737307566328202,3.255813953488374e-05,0.015316148051097274,0.005903799541434654,0.0018917458237798883,-0.000715558467081559,-0.006902063544055027,0.008106354405502784,-0.0007885358663609564,-0.0005198820831968555,-0.0003752047166721257,0.002114477563052735,0.031239796921061228,-0.00023930560104814933,0.0002743203406485424,-0.006507009498853586,0.0018343268915820504,-8.71601703242712e-05,-0.004075892564690471,-0.00025905666557484445,0.0015101867016049787,0.006741729446446121,-0.004169341631182442,0.0032188994431706515,-0.0024443825745168687,-0.011100196528005238,0.0,0.002470881100556829,0.005183196855551916,-0.010205863085489682,0.0034798231247952834,-0.0007113658696364229
22,maziehirono,Senator Mazie Hirono,-0.0006437202489930428,-0.0011108019040644449,0.0057535701208348555,0.0002528011717319663,0.015838300988648853,0.00032057854265836694,-6.07835957524716e-05,0.00025829366532405707,-2.3251556206517758e-05,-0.001071475649945075,-0.0005549249359209081,5.6755767118271704e-05,0.00370710362504577,0.004571072867081655,0.0015859392164042476,-0.0010101794214573412,-0.000934566093006225,0.013215086049066276,-0.0008525448553643355,-0.0005708531673379715,0.002469644818747711,0.0017283412669351888,0.036757488099597224,0.0035578176492127426,0.0003931893079458074,0.004891761259611865,0.0009110216038081289,-0.0003410106188209447,0.0028339069937751747,0.0008135481508604906,0.0025307945807396554,0.0034889783961918708,-0.0002748077627242765,0.0043791285243500525,-0.00023654339069937747,-0.0027307945807396564,0.00030585865983156357,0.0034306481142438667,0.007818125228853902,-0.006389307945807397,0.01003991212010253,0.0077126327352618086
23,MikeCrapo,Senator Mike Crapo,0.0,0.00015052132701421798,0.011159526066350716,0.00045867298578199046,0.008311058451816749,0.00013914691943127963,0.0005988309636650868,0.0010248657187993681,0.0010551658767772511,-0.002928846761453397,0.0032739336492890996,-0.00030113744075829384,0.0022342812006319115,0.0023443917851500786,0.00014492890995260662,0.0004337756714060032,0.0007842022116903633,0.009499273301737757,0.0008859399684044234,-0.0001448657187993681,0.0004593996840442338,0.0002598736176935229,0.03143428120063193,0.00019864139020537127,0.0009682464454976301,0.005151058451816744,0.000594218009478673,0.0,0.00024938388625592417,0.003471816745655608,0.000814218009478673,0.0029726066350710895,-0.0006245181674565558,0.0018655292259083728,-0.0009846761453396523,0.0004716587677725118,0.004272448657187993,0.0030661927330173774,0.016640884676145336,-0.005014533965244866,0.021316145339652464,0.0032105213270142183
24,PattyMurray,Senator Patty Murray,0.0018277244688142558,-0.0006264564770390679,0.008060486634681287,0.0034645647703906786,0.08095945853324191,-0.0011037697052775873,0.0007974982864976011,0.001717272104180946,0.0025747772446881425,-0.0013098697738176837,0.00037261823166552386,0.0001337902673063742,0.006661891706648389,0.0074855380397532536,0.008519122686771767,0.004076045236463331,-0.005245407813570937,0.05750723098012335,-0.00047066483893077444,-0.000277553118574366,-0.0012229952021932829,0.004913879369431117,0.04887183002056209,0.0009110006854009594,0.0,0.001786806031528447,-2.6456477039067857e-05,-8.567511994516793e-05,0.02200849897189856,0.0007418094585332418,0.006967820424948594,0.005794688142563397,-0.0035099040438656606,0.012187251542152158,-0.0007265935572309802,0.0040967443454420814,0.0033026387936943118,0.0017767306374228923,0.005559904043865662,-0.014857676490747082,0.005861137765592874,0.018070699108978742
25,RandPaul,Senator Rand Paul,0.0005937966101694915,0.00036318644067796617,0.006805050847457625,-0.002506813559322034,0.021942067796610152,0.00018854237288135593,0.0030962711864406783,0.0003200677966101695,-0.00013013559322033904,-0.004609423728813558,-0.0009482033898305084,-0.0003043728813559322,0.000812677966101695,0.0005682372881355933,0.0010667796610169492,0.004839050847457628,-0.0010338983050847453,0.016502610169491515,-0.0020088135593220344,-0.0004040338983050847,-0.00020969491525423727,0.0003324745762711865,0.015254983050847446,0.004276203389830513,7.718644067796611e-05,0.005136610169491525,0.0006013220338983051,-0.0008201694915254238,0.0014293898305084744,0.00011430508474576265,0.00044277966101694915,0.002350915254237288,-0.006030101694915253,-0.0018418305084745767,-0.001985762711864407,0.002185898305084746,0.00031355932203389834,0.0014058644067796611,0.002223016949152542,-0.001657423728813559,-0.017081050847457636,0.0003995593220338982
26,realDonaldTrump,Donald J. Trump,-0.0003050355067785668,0.000861814073595868,0.01245041962556488,0.0006710135571336346,0.008096029696578438,0.0,0.0006289218850871528,-0.00025771465461588123,0.005237798579728858,-0.00036985151710781147,-0.004295706907682375,0.0006217559715945772,0.00823879922530665,0.0004842479018721756,0.00027504841833440934,0.0018170109748224658,-0.00036242737249838616,0.003317043253712073,0.0007568754034861199,-0.016460329244673985,-0.004313815364751454,-0.0001302775984506133,0.05791391220142032,-0.00011949644932214286,0.00011991607488702396,0.01993679793415106,0.0018964816010329246,9.780503550677854e-06,0.015028889606197542,6.743060038734667e-05,0.0036821820529373793,0.013127404777275663,-0.006396287927695287,0.01787149774047772,-0.00233234344738541,0.012172692059393161,0.00352224015493867,0.021608263395739187,0.0034507746933505486,-0.0001999354422207876,0.013386023240800517,0.007912943834732084
27,RonWyden,Ron Wyden,-0.0018094987732211706,-0.0021951629863301795,0.00782260778128286,0.0002803364879074658,0.03888762705923588,0.0005346652646337187,7.090781633368384e-05,0.00014647739221871714,-2.8776726253067027e-05,-0.0005730459165790397,-0.0006152821591307403,-0.00037216964598668065,0.003290150718541886,0.0036672625306694707,8.790746582544702e-05,-0.00014654749386610583,-0.0033098492814581143,0.033156361724500524,-0.001491167192429022,-0.002270031545741325,0.0005606729758149316,0.002674693305292675,0.008765545040308445,0.0005024886084822992,-0.00017756747283561162,0.0007798107255520507,-0.0012352611286365232,-3.396424815983175e-05,0.003864563617245008,0.0004070101647388713,0.00280056081317911,0.00815443392919734,-0.006644830003505084,0.006777777777777779,-0.001722783035401332,-0.003734630213810026,0.0014721345951629863,0.0003431826147914475,0.004542691903259727,-0.0058933403434980715,0.004774272695408343,0.001357308096740274
28,RoyBlunt,Senator Roy Blunt,0.0,0.001609050492219752,0.031431787869164805,0.0022045411241664024,0.02615544617338837,0.0,0.0,0.0020675770085741506,0.0012032708796443315,0.001468593204191807,0.006157224515719275,9.777707208637665e-05,0.00786252778659892,0.006764687202286441,0.0003335979676087647,0.0006427119720546206,0.0005385201651317878,0.026788059701492516,0.0003515719275960623,0.0,0.0003028580501746586,0.0003091457605589076,0.05741213083518577,-0.00020006351222610368,0.003566275007939028,0.01134928548745634,0.00030806605271514764,0.0,0.0008899015560495394,0.017546840266751334,0.002613496348046999,0.004530739917434106,0.005651190854239441,0.013190314385519207,-0.002443410606541759,0.004553000952683391,0.0014818990155604957,0.001918323277230867,0.012710225468402659,-0.0014499206097173705,0.028178342330898692,0.007478056525881232
